2024-03-12 16:20:11.748 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:11.775 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:11.802 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:11.839 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:11.865 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:11.891 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:11.917 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:11.944 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:11.971 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:11.997 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.024 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.050 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.077 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.080 parsl.monitoring.resource_monitor:249 419274 MainThread [DEBUG]  sleeping
2024-03-12 16:20:12.080 parsl.monitoring.resource_monitor:213 419274 MainThread [DEBUG]  start of monitoring loop
2024-03-12 16:20:12.504 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.533 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.560 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.593 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.625 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.657 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.689 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.730 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.762 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.795 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.822 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.855 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.883 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.915 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.952 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:12.987 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:13.015 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
2024-03-12 16:20:13.043 parsl.monitoring.resource_monitor:236 419274 MainThread [DEBUG]  Sending intermediate resource message
